"","loan_amount",".class",".value",".type","Model"
"1",1.6094379124341,"Loan approved",0.628445759787727,"pdp","Logistic Regression"
"2",1.6094379124341,"Loan denied",0.371554240212273,"pdp","Logistic Regression"
"3",2.20363761841188,"Loan approved",0.648444421511327,"pdp","Logistic Regression"
"4",2.20363761841188,"Loan denied",0.351555578488674,"pdp","Logistic Regression"
"5",2.79783732438967,"Loan approved",0.66781662184129,"pdp","Logistic Regression"
"6",2.79783732438967,"Loan denied",0.332183378158709,"pdp","Logistic Regression"
"7",3.39203703036745,"Loan approved",0.686523319202564,"pdp","Logistic Regression"
"8",3.39203703036745,"Loan denied",0.313476680797437,"pdp","Logistic Regression"
"9",3.98623673634524,"Loan approved",0.704533226731382,"pdp","Logistic Regression"
"10",3.98623673634524,"Loan denied",0.295466773268617,"pdp","Logistic Regression"
"11",4.58043644232302,"Loan approved",0.72182261028732,"pdp","Logistic Regression"
"12",4.58043644232302,"Loan denied",0.27817738971268,"pdp","Logistic Regression"
"13",5.1746361483008,"Loan approved",0.73837500353635,"pdp","Logistic Regression"
"14",5.1746361483008,"Loan denied",0.26162499646365,"pdp","Logistic Regression"
"15",5.76883585427859,"Loan approved",0.754180850861793,"pdp","Logistic Regression"
"16",5.76883585427859,"Loan denied",0.245819149138208,"pdp","Logistic Regression"
"17",6.36303556025637,"Loan approved",0.769237089086459,"pdp","Logistic Regression"
"18",6.36303556025637,"Loan denied",0.23076291091354,"pdp","Logistic Regression"
"19",6.95723526623416,"Loan approved",0.783546679328882,"pdp","Logistic Regression"
"20",6.95723526623416,"Loan denied",0.21645332067112,"pdp","Logistic Regression"
"21",7.55143497221194,"Loan approved",0.79711810027391,"pdp","Logistic Regression"
"22",7.55143497221194,"Loan denied",0.20288189972609,"pdp","Logistic Regression"
"23",8.14563467818972,"Loan approved",0.809964813345961,"pdp","Logistic Regression"
"24",8.14563467818972,"Loan denied",0.190035186654038,"pdp","Logistic Regression"
"25",8.73983438416751,"Loan approved",0.822104708633658,"pdp","Logistic Regression"
"26",8.73983438416751,"Loan denied",0.177895291366342,"pdp","Logistic Regression"
"27",9.33403409014529,"Loan approved",0.833559538148206,"pdp","Logistic Regression"
"28",9.33403409014529,"Loan denied",0.166440461851795,"pdp","Logistic Regression"
"29",9.92823379612307,"Loan approved",0.844354340584444,"pdp","Logistic Regression"
"30",9.92823379612307,"Loan denied",0.155645659415555,"pdp","Logistic Regression"
"31",10.5224335021009,"Loan approved",0.854516859791547,"pdp","Logistic Regression"
"32",10.5224335021009,"Loan denied",0.145483140208451,"pdp","Logistic Regression"
"33",11.1166332080786,"Loan approved",0.864076958188231,"pdp","Logistic Regression"
"34",11.1166332080786,"Loan denied",0.13592304181177,"pdp","Logistic Regression"
"35",11.7108329140564,"Loan approved",0.873066026697447,"pdp","Logistic Regression"
"36",11.7108329140564,"Loan denied",0.126933973302551,"pdp","Logistic Regression"
"37",12.3050326200342,"Loan approved",0.88151639444428,"pdp","Logistic Regression"
"38",12.3050326200342,"Loan denied",0.118483605555721,"pdp","Logistic Regression"
"39",12.899232326012,"Loan approved",0.889460744165579,"pdp","Logistic Regression"
"40",12.899232326012,"Loan denied",0.110539255834421,"pdp","Logistic Regression"
