"","loan_amount",".class",".value",".type"
"1",1.6094379124341,"Loan approved",0.656671131691114,"pdp"
"2",1.6094379124341,"Loan denied",0.343328868308886,"pdp"
"3",2.03895390827382,"Loan approved",0.665369495399341,"pdp"
"4",2.03895390827382,"Loan denied",0.334630504600662,"pdp"
"5",2.46846990411354,"Loan approved",0.673886059135865,"pdp"
"6",2.46846990411354,"Loan denied",0.326113940864134,"pdp"
"7",2.89798589995326,"Loan approved",0.682218663328949,"pdp"
"8",2.89798589995326,"Loan denied",0.31778133667105,"pdp"
"9",3.32750189579298,"Loan approved",0.69036559723087,"pdp"
"10",3.32750189579298,"Loan denied",0.30963440276913,"pdp"
"11",3.7570178916327,"Loan approved",0.698325581627618,"pdp"
"12",3.7570178916327,"Loan denied",0.301674418372382,"pdp"
"13",4.18653388747242,"Loan approved",0.706097750700533,"pdp"
"14",4.18653388747242,"Loan denied",0.293902249299466,"pdp"
"15",4.61604988331213,"Loan approved",0.713681633211147,"pdp"
"16",4.61604988331213,"Loan denied",0.286318366788852,"pdp"
"17",5.04556587915185,"Loan approved",0.721077133167804,"pdp"
"18",5.04556587915185,"Loan denied",0.278922866832196,"pdp"
"19",5.47508187499157,"Loan approved",0.728284510120429,"pdp"
"20",5.47508187499157,"Loan denied",0.271715489879572,"pdp"
"21",5.90459787083129,"Loan approved",0.735304359217965,"pdp"
"22",5.90459787083129,"Loan denied",0.264695640782035,"pdp"
"23",6.33411386667101,"Loan approved",0.742137591151939,"pdp"
"24",6.33411386667101,"Loan denied",0.257862408848061,"pdp"
"25",6.76362986251073,"Loan approved",0.748785412099225,"pdp"
"26",6.76362986251073,"Loan denied",0.251214587900774,"pdp"
"27",7.19314585835045,"Loan approved",0.755249303767513,"pdp"
"28",7.19314585835045,"Loan denied",0.244750696232486,"pdp"
"29",7.62266185419017,"Loan approved",0.761531003638186,"pdp"
"30",7.62266185419017,"Loan denied",0.238468996361812,"pdp"
"31",8.05217785002989,"Loan approved",0.767632485493097,"pdp"
"32",8.05217785002989,"Loan denied",0.232367514506903,"pdp"
"33",8.48169384586961,"Loan approved",0.773555940304272,"pdp"
"34",8.48169384586961,"Loan denied",0.226444059695729,"pdp"
"35",8.91120984170933,"Loan approved",0.779303757558439,"pdp"
"36",8.91120984170933,"Loan denied",0.220696242441562,"pdp"
"37",9.34072583754905,"Loan approved",0.784878507081656,"pdp"
"38",9.34072583754905,"Loan denied",0.215121492918343,"pdp"
"39",9.77024183338877,"Loan approved",0.790282921422876,"pdp"
"40",9.77024183338877,"Loan denied",0.209717078577124,"pdp"
